연령별,,0-4세, 5 - 9세, 10 - 14세, 15 - 19세, 20 - 24세, 25 - 29세, 30 - 34세, 35 - 39세, 40 - 44세, 45 - 49세, 50 - 54세, 55 - 59세,60 - 64세, 65 - 69세, 70 - 74세, 75 - 79세,80세이상
1970,남자,"2,362,393","2,400,902","2,349,947"," 1,688,217","1,314,867"," 1,207,106"," 1,129,990","920,441"," 695,800"," 623,917"," 504,235"," 403,184"," 299,491","178,840"," 139,249"," 56,261","33,767"
,여자,"2,185,784","2,185,784"," 2,228,980"," 2,181,361"," 1,581,139"," 1,254,177"," 1,128,863"," 1,107,757"," 946,541"," 771,329"," 647,637"," 512,915"," 443,264"," 359,282"," 249,885"," 172,559"," 93,589"
1975,남자,"2,373,560"," 2,319,163"," 2,384,577"," 2,240,011"," 1,570,423"," 1,289,827"," 1,137,048"," 1,123,445"," 887,724"," 650,006"," 580,476"," 435,319"," 320,952"," 225,695"," 121,921"," 68,485"," 37,196"
,여자,"2,167,499"," 2,158,996"," 2,210,608"," 2,094,258"," 1,503,991"," 1,245,439"," 1,108,634"," 1,085,681"," 932,497"," 748,393"," 622,471"," 484,062"," 388,218"," 312,711"," 213,140"," 136,655","101,644"
1980,남자,"2,087,411"," 2,314,435"," 2,305,805"," 2,343,977"," 2,078,090"," 1,584,377"," 1,320,116"," 1,168,846"," 1,110,891"," 859,667"," 607,140"," 528,205"," 382,208"," 263,454"," 162,400"," 73,846"," 44,868"
,여자,"1,946,316"," 2,143,991"," 2,152,817"," 2,175,712"," 2,015,317"," 1,488,420"," 1,205,098"," 1,110,719"," 1,067,679"," 896,421"," 717,786"," 602,630"," 453,668"," 360,503"," 263,595"," 154,013"," 133,354"
1985,남자,"1,995,049"," 2,046,870"," 2,316,422"," 2,272,313"," 2,185,328"," 2,092,942"," 1,626,661"," 1,314,595"," 1,165,918"," 1,073,822"," 814,133"," 564,617"," 449,283"," 303,471"," 197,029"," 103,369"," 53,778"
,여자,"1,850,484"," 1,920,797"," 2,174,920"," 2,135,464"," 2,089,009"," 2,004,949"," 1,462,611"," 1,237,597"," 1,096,983"," 1,045,518"," 872,627"," 693,961"," 561,022"," 408,737"," 309,324"," 204,739"," 161,402"
1990,남자,"1,687,147"," 1,991,341"," 2,029,056"," 2,289,382"," 2,237,534"," 2,222,615"," 2,123,583"," 1,562,784"," 1,268,797"," 1,100,340"," 1,001,442"," 739,200"," 493,103"," 375,468"," 234,292"," 132,365"," 79,732"
,여자,"1,516,056"," 1,852,140"," 1,897,852"," 2,152,632"," 2,104,873"," 2,104,134"," 2,011,119"," 1,479,545"," 1,208,951"," 1,066,369"," 1,020,272"," 850,304"," 663,628"," 525,383"," 364,560"," 260,764"," 222,520"
1995,남자,"1,893,876"," 1,664,291"," 1,978,698"," 2,010,189"," 2,259,595"," 2,210,162"," 2,204,571"," 2,095,913"," 1,527,547"," 1,225,938"," 1,045,400"," 932,110"," 670,698"," 424,965"," 297,065"," 162,677"," 101,634"
,여자,"1,651,828"," 1,502,462"," 1,845,673"," 1,886,759"," 2,132,031"," 2,090,548"," 2,092,150"," 1,996,138"," 1,467,844"," 1,192,966"," 1,045,311"," 995,816"," 817,825"," 623,249"," 469,728"," 296,749"," 280,585"
2000,남자,"1,716,148"," 1,877,208"," 1,651,269"," 1,987,021"," 1,989,852"," 2,232,158"," 2,176,913"," 2,180,572"," 2,045,158"," 1,483,122"," 1,194,103"," 981,156"," 852,303"," 595,086"," 353,411"," 215,420"," 135,869"
